2019-09-18 00:00:12.851 [main] INFO  com.itmayiedu.MemberWebService - No active profile set, falling back to default profiles: default
2019-09-18 00:00:15.401 [main] INFO  org.apache.catalina.core.StandardService - Starting service Tomcat
2019-09-18 00:00:15.402 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.14
2019-09-18 00:00:15.697 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-09-18 00:00:21.790 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-09-18 00:00:21.790 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-09-18 00:00:21.796 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-09-18 00:00:21.796 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-09-18 00:00:23.157 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2019-09-18 00:00:29.520 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-09-18 00:00:29.520 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-09-18 00:00:30.052 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-09-18 00:00:30.052 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-09-18 00:00:30.378 [main] INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-09-18 00:00:31.047 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2019-09-18 00:00:31.048 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2019-09-18 00:00:31.048 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2019-09-18 00:00:31.049 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2019-09-18 00:00:31.049 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2019-09-18 00:00:31.049 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2019-09-18 00:00:31.049 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2019-09-18 00:00:31.280 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2019-09-18 00:00:31.283 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2019-09-18 00:00:31.285 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-09-18 00:00:31.290 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1568736031290 with initial instances count: 1
2019-09-18 00:00:31.322 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1568736031322, current=UP, previous=STARTING]
2019-09-18 00:00:31.325 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_MEMBER/deng-PC.lan:member:8762: registering service...
2019-09-18 00:00:31.462 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8762"]
2019-09-18 00:00:52.701 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8762"]
2019-09-18 00:00:52.731 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-09-18 00:00:52.757 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_MEMBER/deng-PC.lan:member:8762 - registration status: 204
2019-09-18 00:00:52.960 [main] INFO  com.itmayiedu.MemberWebService - Started MemberWebService in 43.652 seconds (JVM running for 46.279)
2019-09-18 00:01:14.105 [http-nio-8762-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2019-09-18 00:01:14.385 [http-nio-8762-exec-1] INFO  com.itmayiedu.common.log.LogAspectServiceApi - ===============请求内容===============
2019-09-18 00:01:14.385 [http-nio-8762-exec-1] INFO  com.itmayiedu.common.log.LogAspectServiceApi - 请求地址:http://127.0.0.1:8762/member/login
2019-09-18 00:01:14.385 [http-nio-8762-exec-1] INFO  com.itmayiedu.common.log.LogAspectServiceApi - 请求方式:POST
2019-09-18 00:01:14.388 [http-nio-8762-exec-1] INFO  com.itmayiedu.common.log.LogAspectServiceApi - 请求类方法:Map com.itmayiedu.member.ServiceImpl.UserServiceImpl.login(UserEntity)
